"CUEANEXO","cantidad_vacantes","anio"
20206300,68,"2015"
20213900,56,"2015"
20214000,44,"2015"
20214100,65,"2015"
20219900,48,"2015"
20220000,83,"2015"
20220001,46,"2015"
20220100,33,"2015"
20220200,66,"2015"
20220300,48,"2015"
20220400,79,"2015"
20220500,58,"2015"
20220600,103,"2015"
20220700,76,"2015"
20220800,70,"2015"
20220900,88,"2015"
20221000,59,"2015"
20221100,148,"2015"
20221200,93,"2015"
20221300,123,"2015"
20223800,89,"2015"
20223900,132,"2015"
20226900,40,"2015"
20227000,92,"2015"
20227100,87,"2015"
20227101,30,"2015"
20227200,79,"2015"
20227400,57,"2015"
20227500,99,"2015"
20227800,70,"2015"
20227900,117,"2015"
20230100,79,"2015"
20230700,50,"2015"
20230800,83,"2015"
20230900,80,"2015"
20238900,32,"2015"
20240100,67,"2015"
20240200,50,"2015"
20240300,20,"2015"
20241900,119,"2015"
20243500,46,"2015"
20243800,77,"2015"
20243801,46,"2015"
20243802,42,"2015"
20243900,211,"2015"
20244000,38,"2015"
20244100,94,"2015"
20244101,25,"2015"
20244200,52,"2015"
20244400,30,"2015"
20244401,54,"2015"
20246500,101,"2015"
20246600,34,"2015"
20246700,55,"2015"
20246900,40,"2015"
20247000,126,"2015"
20250400,67,"2015"
20250500,107,"2015"
20250700,58,"2015"
20250800,70,"2015"
20274000,40,"2015"
20274500,72,"2015"
20280000,35,"2015"
20280200,138,"2015"
20280300,139,"2015"
20280301,22,"2015"
20280400,96,"2015"
20281000,114,"2015"
20281400,146,"2015"
20281600,62,"2015"
20282800,66,"2015"
20285000,88,"2015"
20287100,60,"2015"
20287500,37,"2015"
20290200,101,"2015"
20290300,107,"2015"
20290400,29,"2015"
20290500,1,"2015"
20290700,45,"2015"
20294100,99,"2015"
20294200,36,"2015"
20294300,49,"2015"
20294800,49,"2015"
20294900,171,"2015"
20295000,39,"2015"
20295200,52,"2015"
20295300,93,"2015"
20296700,76,"2015"
20298200,27,"2015"
20298400,120,"2015"
20299100,28,"2015"
NA,370,"2015"
20000200,36,"2016"
20000800,41,"2016"
20000900,31,"2016"
20001000,13,"2016"
20001100,25,"2016"
20001200,37,"2016"
20001800,13,"2016"
20002200,34,"2016"
20002300,27,"2016"
20002400,25,"2016"
20002500,26,"2016"
20003700,109,"2016"
20003701,35,"2016"
20003703,10,"2016"
20003800,48,"2016"
20003900,22,"2016"
20004000,56,"2016"
20004100,29,"2016"
20004200,27,"2016"
20004300,25,"2016"
20004400,177,"2016"
20004600,22,"2016"
20004800,24,"2016"
20005000,77,"2016"
20005100,17,"2016"
20005300,57,"2016"
20005600,24,"2016"
20006300,8,"2016"
20007100,20,"2016"
20007300,36,"2016"
20007500,33,"2016"
20007501,13,"2016"
20007502,4,"2016"
20007600,104,"2016"
20007700,27,"2016"
20007900,101,"2016"
20008400,40,"2016"
20008500,36,"2016"
20008600,18,"2016"
20008900,50,"2016"
20009000,75,"2016"
20009700,48,"2016"
20010300,51,"2016"
20011000,24,"2016"
20011100,35,"2016"
20011200,37,"2016"
20011300,20,"2016"
20011700,39,"2016"
20012000,45,"2016"
20012100,58,"2016"
20012800,7,"2016"
20013000,8,"2016"
20013500,60,"2016"
20013600,57,"2016"
20013700,71,"2016"
20013701,60,"2016"
20013900,37,"2016"
20014000,33,"2016"
20014100,22,"2016"
20014300,121,"2016"
20015200,98,"2016"
20015300,50,"2016"
20015400,37,"2016"
20015500,101,"2016"
20015800,128,"2016"
20015801,23,"2016"
20015900,31,"2016"
20016000,43,"2016"
20016100,9,"2016"
20016300,85,"2016"
20016500,58,"2016"
20016600,23,"2016"
20016700,38,"2016"
20016900,28,"2016"
20017000,47,"2016"
20017700,26,"2016"
20017701,21,"2016"
20017702,24,"2016"
20018100,13,"2016"
20018400,24,"2016"
20018500,25,"2016"
20018600,51,"2016"
20018700,42,"2016"
20018701,47,"2016"
20018702,19,"2016"
20018800,36,"2016"
20018900,45,"2016"
20019200,201,"2016"
20019300,25,"2016"
20019600,47,"2016"
20020200,3,"2016"
20020700,26,"2016"
20020800,29,"2016"
20021200,18,"2016"
20021300,25,"2016"
20021400,25,"2016"
20021500,22,"2016"
20021600,28,"2016"
20021900,27,"2016"
20022000,71,"2016"
20022001,26,"2016"
20022002,19,"2016"
20022003,17,"2016"
20022100,57,"2016"
20023000,21,"2016"
20023600,24,"2016"
20023700,16,"2016"
20023900,13,"2016"
20023901,18,"2016"
20023902,22,"2016"
20024900,35,"2016"
20024901,24,"2016"
20024902,57,"2016"
20024903,15,"2016"
20025000,73,"2016"
20025100,46,"2016"
20025500,73,"2016"
20026800,84,"2016"
20027400,70,"2016"
20027500,125,"2016"
20027800,59,"2016"
20027804,43,"2016"
20027900,58,"2016"
20028100,25,"2016"
20028500,7,"2016"
20028600,4,"2016"
20028900,37,"2016"
20029000,16,"2016"
20029001,37,"2016"
20029002,71,"2016"
20029400,126,"2016"
20029401,71,"2016"
20029600,30,"2016"
20029700,44,"2016"
20029800,25,"2016"
20030200,29,"2016"
20030400,11,"2016"
20030900,31,"2016"
20030902,20,"2016"
20031100,53,"2016"
20031900,22,"2016"
20032400,23,"2016"
20032500,25,"2016"
20032800,64,"2016"
20032900,69,"2016"
20033000,27,"2016"
20033300,9,"2016"
20033600,17,"2016"
20033601,21,"2016"
20033602,12,"2016"
20034100,27,"2016"
20034200,53,"2016"
20034400,32,"2016"
20034401,19,"2016"
20034402,25,"2016"
20034403,18,"2016"
20034900,28,"2016"
20035000,93,"2016"
20035100,25,"2016"
20035200,20,"2016"
20035300,46,"2016"
20035800,29,"2016"
20036200,72,"2016"
20036300,37,"2016"
20036400,160,"2016"
20037900,62,"2016"
20038000,21,"2016"
20038100,123,"2016"
20038200,83,"2016"
20038600,25,"2016"
20039900,29,"2016"
20040000,30,"2016"
20040100,159,"2016"
20040400,113,"2016"
20041000,50,"2016"
20041300,25,"2016"
20041400,66,"2016"
20041700,48,"2016"
20041800,26,"2016"
20041900,37,"2016"
20042100,18,"2016"
20042600,80,"2016"
20042700,16,"2016"
20043300,72,"2016"
20043800,50,"2016"
20043900,40,"2016"
20044100,69,"2016"
20044200,121,"2016"
20044400,43,"2016"
20044401,54,"2016"
20044402,21,"2016"
20044700,27,"2016"
20046100,26,"2016"
20046200,53,"2016"
20046300,30,"2016"
20046700,54,"2016"
20046702,9,"2016"
20046703,35,"2016"
20046900,43,"2016"
20047000,27,"2016"
20047200,49,"2016"
20047300,56,"2016"
20047400,56,"2016"
20047600,31,"2016"
20047700,92,"2016"
20047701,27,"2016"
20047800,108,"2016"
20048100,25,"2016"
20048400,34,"2016"
20048500,28,"2016"
20048700,97,"2016"
20048900,28,"2016"
20049000,3,"2016"
20049100,46,"2016"
20049200,140,"2016"
20049400,28,"2016"
20049500,37,"2016"
20049700,24,"2016"
20049900,31,"2016"
20050000,44,"2016"
20050400,41,"2016"
20050600,76,"2016"
20050900,79,"2016"
20051400,84,"2016"
20051600,43,"2016"
20051800,21,"2016"
20051900,20,"2016"
20052000,119,"2016"
20052300,54,"2016"
20052400,26,"2016"
20052800,42,"2016"
20053000,39,"2016"
20053300,22,"2016"
20053600,222,"2016"
20054000,28,"2016"
20054200,100,"2016"
20054400,18,"2016"
20054600,15,"2016"
20055400,7,"2016"
20055401,25,"2016"
20055402,23,"2016"
20055403,15,"2016"
20055404,5,"2016"
20055600,26,"2016"
20055700,21,"2016"
20055800,34,"2016"
20055900,106,"2016"
20056300,237,"2016"
20056600,39,"2016"
20056700,92,"2016"
20057000,109,"2016"
20057800,60,"2016"
20058000,69,"2016"
20058001,25,"2016"
20058100,15,"2016"
20058200,18,"2016"
20058300,295,"2016"
20058400,156,"2016"
20058900,107,"2016"
20059200,60,"2016"
20059300,108,"2016"
20059500,82,"2016"
20059600,37,"2016"
20059800,24,"2016"
20059900,20,"2016"
20060100,28,"2016"
20060600,44,"2016"
20060602,23,"2016"
20060603,12,"2016"
20060604,14,"2016"
20060700,50,"2016"
